processed_text,score,sentiment
increasing the standard tariff by 2 what a joke,2,positivo
it great i like all movie that come on,5,contento
i am so happy that i got netflix because it ha all of my favorite tv show and movie,5,contento
ndara,5,neutral
ad plan now remove over 150 original series and movie they just keep screwing u over well im done paying and now delete,1,positivo
keep increasing price movie are not a interesting anymore and feel like option are limited keep on suggesting the same movie that weve seen hate the new design do better netflix,1,negativo
my movie keep getting delayed and the voice is off,1,negativo
and now im pissed for over a week now your app ha permission to override my personal setting there is absolutely zero reason you should be allowed to override my brightness setting this need to be fixed immediately,1,negativo
worst,1,insatisfecho
i love netflix series and their documentary,4,contento
worst audio ever way too low when there is dialogue but when action happens it way too loud garbage,1,negativo
no ad wa the whole reason i got netflix but now they are just like all other video streaming appsjust want more money,1,positivo
this app dims the screen while playing a video it is very dark nad difficult to see even if you adjust the brightness to full,1,positivo
gooood,5,neutral
dont watch netflix showsthey constantly cancel show they make leaving you frustrated,1,insatisfecho
remember when netflix tweeted that love is sharing your password well this not being able to share account in different place is ridiculous im away at college and i absolutely will not be paying for a new account when i already have all my stuff set up at home with,1,contento
nice app charge money and show old movie,3,positivo
pro,1,neutral
netflix is bringing popular k drama in india but unfortunately they arent available in hindi and other indian language it a big turn off we would love netflix more if these series are available in indian language please consider adding more audio option,4,contento
whats the problem i only watch it on my personal phone and steaming medium device attached to my tv never ever had any problem but all of sudden i can not watch it on my phone so i have to take the 14 day watch limit like something and cancelled,1,negativo
using my google pixel 7 pro and screen keep fading between high and low brightness help,4,positivo
stuck on loading screen even when internet connection is robust,1,positivo
it fun and entertaning you can serch for whatever what i like to watch is the flash so check that out bye,5,contento
best in the world,5,contento
love itbut please add new series please,4,contento
very good,5,positivo
it wa insrantly hacked i know by whom the police are involved,1,negativo
yes would like to put an cave on there it so great,4,contento
i cant watch anything because the screen just go black,1,neutral
awesome,5,contento
there are a lot of kid show i would love to see in netflix like spongebob and so on,5,contento
fantastic,5,contento
best for movie,5,contento
i will change to a 5 star rating if castlevania nocturne get renewed,1,neutral
great app ha game too wish it wasnt so pricey,5,contento
terrible functionality on chromecast,1,negativo
good app but how do i fix black screen with audio,4,positivo
why have they started putting advert ffs,2,insatisfecho
i think it really suck that you cant let someone in another house use my netflix i just moved to wa and my daughter stayed on or i should be able to give her one of those profile she cant afford your price and im getting it free through my,1,neutral
very good and good,5,contento
the app is not working sometimes it get many error message i tried to contact their customer service but they couldnt help me and the were hard to communicate with i dont recommend netflix,1,insatisfecho
apehak phone apps loading je video nyehareeeyyyy,1,neutral
love watching my movie on here,5,contento
finding it hard changing the country to enable payment,1,negativo
dont block me from watching from my only device i always watch from i shouldnt have to beg to get a code to sign on because you lied and said i never used this device for my account before,1,negativo
i love wednesday i watchedit on wednesday,5,contento
wish it wa free,5,contento
u are d best,5,contento
wow moment,5,contento
awesome,5,contento
perfect,5,contento
i have android 11 system on my tv and im paying netflix each month for it service one day without no resone it stopped working i can open the app choose a show but cant watch it and why there is other option dont use netflix,1,neutral
dont get me wrong i love netflix but i hate how even the low price subscription should have hd quality it fair it still money people be spending but i dont know why i even say anything not like you guy are gon na change it or something,4,insatisfecho
i like this one to watch the movie,5,positivo
i like this,5,positivo
great,4,contento
i can not sign in,1,neutral
best application for series this app have so many option and they all are best,5,contento
absolutely love it but i wish they had the voice on there,5,contento
i love the flims that is shown there,5,contento
best just the best,5,contento
perfect,5,contento
great platform,4,contento
it wa good but i wish it had internet when i didnt have any internet but thats okay i still like it,5,contento
my netflix download speed is too slow,1,neutral
constantly billed incorrectly and hacked,1,negativo
amazing,3,contento
handy,3,neutral
entertaining,4,positivo
im very happy with the appeasy to use and well thought out it just need to be improved a little more,4,contento
i like this app more than ever,5,positivo
cool cool,5,contento
this app is abvsolutely amazing but stop removing the bedt film please dont remove hairspray and keep zombieland,5,positivo
when i try to add netflix again i always have a problem with my payment im trying to use google play but i just want my debit card why can i just go straight to google play and do it like disney plus and paramount picture i never have problem,5,contento
i want to watch while on call,1,positivo
easy to set up,5,positivo
it is great,5,contento
netflix wa once the streaming service to have theyre the one who started it all however they need raise the quality of the app these day a much a they continue to raise the price im finally considering canceling i rarely find anything new it the same stuff everytime i,3,neutral
continues to say no internet and will not play or show anything on my phone when i clearly have service over wifi or cell tower ridiculous,1,negativo
nice,5,positivo
ad make the app crash a lot it bad enough that you have to pay money for a service with ad but then the ad cause the app to crash i wa always under the impression that the subscription fee should cover having to need ad in your programming if,1,insatisfecho
netflix ha always been great but come on netflix step it up a little though,3,contento
lack of popularwell known movie netflix title are strange,2,negativo
it poo poo,1,neutral
good,5,positivo
reduce price please,1,positivo
tidak bisa dipakai untuk 1 keluarga dalam beda rumah,1,neutral
100100 entertainment,5,positivo
all video what i like,5,positivo
like,1,positivo
very helpful,5,positivo
good app excellent feature,5,contento
netflix is a good app but whenever i try to sign in it keep saying my password is incorrect i tried to sign in so many time but every single time it keep saying incorrect password when my password wa always correct,2,positivo
i enjoyed the app since it easy to use but i disagree about removing some movie and tv show from lee jung jae please netflix philippine im begging you to upload more of his movie and tv show,2,positivo
im unsubscribing for good even with the offensive homosexual content and the price hike the final straw wa the insane household policy i have the toptier subscription which is supposed to allow four user to watch at the same time but they all have to be on the same internet,1,negativo
lovely,5,contento
b grade collection of movie and tv show,1,neutral
wide chice,5,neutral
9ice one,5,neutral
sometimes it go fast,5,neutral
i know the game feature is new but stop showing it at home page it really disturbing to see the game that didnt interesting keep showing when i open the app the visual of the game is not even nice the game feature alr got individual page what the point,1,enojado
awful canceled subscription over a year ago app wa not adding content i would watch now new dub anime now new series or season and ha anyone heard anyone talk about any new show worth subscribing again to watch it no just not a good a it wa 4 year,1,insatisfecho
worst app,1,insatisfecho
after updating the app doesnt function anymore keep giving an error and no it not my connection all other subscription app open fine,2,negativo
tooo muchh goodd,5,neutral
it make me learn a lot of it watching w family friend it actually fun thing,5,contento
best streming app,5,contento
overcharging netflix have consistently overcharged me january and february 2025 they charge me 3x 799 for one mo th single plan which cost 799 month they did this for two consecutive month im trying to stop them repeating the overcharging for march 25 it very difficult to get through because,1,insatisfecho
large text setting in subtitle appearance if captioning is dynamically moving about a screen text got mashed together need to set to allow all text to expand a normally not caring if covering opening credit that setting is for low vision people like me watching unfortunately medium text size can,4,contento
better than cable tv edpecially late nite ot quiet time,5,positivo
best ott app,5,contento
it good for watching series highly recommended,5,contento
kyunki ismein meri favourite chijen aati hai,5,neutral
garbage,1,neutral
love this app,5,contento
it a good app to find kind of fun movie,5,contento
whenever i am on the phone app it tell me that half the title i wa watching are not on and also tell me that i am on a vpn for some reason,1,neutral
very bad even i cant register my email,1,insatisfecho
not having hdr support for motorola phone in india,1,negativo
the movie are okay but recently it will stuck and freeze whenever i watch so i have to download first and then no freeze i already uninstalled and re install and update but no change,1,insatisfecho
i cant cast to tv anymore,2,neutral
nice collection but some more not very much but some missingi tale you letter,5,positivo
most disgusting to open,1,insatisfecho
issue with restarting membership after cancelling card,2,negativo
how am i supposed to be part of my household when im out of state thanks a lot,1,positivo
free trail is fake it is not free and it is asking for card detail wrongly stolen all of our email id thu nee bathuku,1,insatisfecho
super app,5,contento
i love it,5,contento
movie fan,5,positivo
tambahin subdub indo di ninjago,5,neutral
it a good app and i watch a lot of movie kdramas and anime but i cant watch other season of anime especially tokyo revengers they already have s2 s3 and s4 is already coming up on march 22 but i still havent watched s2 s3 also in bungou stray,5,insatisfecho
the apps suddenly can not open during i am watching a korean drama how to solve it,2,positivo
it is very good,5,positivo
happy with it,4,contento
the app suddenly cant connect to netflix i dont know what is the reason very disappointed,2,insatisfecho
changing pin for rating is not friendly user,3,negativo
excellent,5,contento
diverse content gallery,5,neutral
because of the screen brightness feature why is there no way to keep my phone brightness level it frikin blinding once accidentally you move the in app brightness it like you can go back unless you install why doe the brightness increase on ad and then refuse to go back,1,contento
have no sound on my tv it the only app that is doing this and now the app on my phone wont open,3,negativo
constantly having to prove it me or my grandkids after almost every episode of a show we are watching only reason i went with netflix is so i could share it with my grandbabies starting to be too much to have to go to my email every 30 minute when,2,positivo
trash,1,neutral
i cant login from my device ive tried several time but it still doesnt work how can i log back into my account im bored because i cant watch,1,negativo
this ha been getting progressively worse i use on my phone and today i clicked my profile but it had all my husband info the show he watched and it said continue watching for and his name he checked his phone and it wa reversed he clicked his profile but,2,negativo
price keep going up for them to make mediocre original,1,positivo
this app is the pest app for wotching film,5,neutral
only problem i really got is how when i wan na screenshot something funny it just put a black screen not allowing me to screenshot which is a bit too much tbh it can just be a black screen for recording but not for screnshotting only thing that cant get,4,neutral
i would like it if i could remove stuff from my watch history on the app instead of the website,4,positivo
want to uninstall but of course there is no option,1,negativo
ad on a paid app,1,neutral
this is more of rating for the samsung tv app o boy it always piqued my interest of how folly folk are leaving netflix behind but i think i can understand those folk now with the gui word cant describe how terribly it is not to mention the lack of,2,positivo
trying to watch a 3 part docuseries and i can not believe how many frickin commercial there are every two minute there a 2 min commercial almost unbearable,1,neutral
it good,4,positivo
it wont let me control brightness for ad wth sorry but thats a 1 star quality if ive ever seen one fix it netflix,1,negativo
it been fine but stopped working today and wont start again despite restarting my phone the router resetting my sim card unreinstalling the app checking date and time setting clearing the cache it still working on my pc but the apps just suddenly broken,1,insatisfecho
i am the main subscriber they take money out of my debit every month they didnt bother to let me know that you guyz jacked up the price i am beyond pissed now it wont allow me to watch anything someone need to get ahold of me so we can,1,insatisfecho
it come preinstalled on our phone now horrible junk,1,insatisfecho
the best i can watch movie,5,contento
i pay for two netflix accts but for some reason i always have problem when i goto my property and back home i use one acct at home and one at my property and it dont work got ta update my location not a good streaming platform,1,insatisfecho
2025 better than 2 year ago slim picking in movie slightly over average in show,3,positivo
they put the sonic 2 movie on here,4,neutral
bd,5,neutral
satisfying very entertaining,5,contento
suddenly i cant find even one of the show that ive been watching for the past two month i saw 2 episode today morning and by evening it gone im cancelling netflix and so are my friend everything on netflix is now for child under 10,1,positivo
i would give 5 if you could watch it for free,4,contento
kasi bintang 5 kalo uda bisa bayar pake pulsa all operator,3,neutral
it been great i really like commercial dont come up,5,contento
doesnt honor system brightness and even inapp lowest brightness is far above my daily use in norm,1,insatisfecho
it never work and i have to phone each time,1,neutral
by choosing to accept ad with my standard plan netflix ha cancelled my ability to connect to chromecast with no advance explanation or notification you really know how to damage your client base,1,neutral
so because im traveling i cant watch netflix i am ending my subscription and im done with netflix,1,neutral
since last update it is not distinguishing between a regular profile and a kid profile netflix shouldnt be recommending mobile dating sim game or brooklyn nine nine for a kid profile that is restricted to pg and below very unhappy parent,3,insatisfecho
everytime i click on my own account it show me my dad page ive clicked on my sibling account and it all my dad stuff even on their device ive uninstalled it and reinstalled it and it not working,2,neutral
doesnt cost much and there no ad it a win win,5,contento
i love this,5,contento
i love netflix it fast for downloading and ha the best movie and series but you take time to bring back season why like you will watch season 1 2020 then season 2 2025 thats crazy,5,contento
well tried to sign up for netflix via the app and it wa an endless loop of if youre new click here but when you click there it brings you to sign in like you are already a member and there isnt a place to register ok netflix guess you,1,contento
unfortunately the new interface is quite terrible and not friendly to the eye adjusting to it is difficult and hope theyll change it very very fast i am spending less time on netflix now which might result in canceling the subscription,1,insatisfecho
just love netflix,5,contento
the app is running smoothly a well,2,positivo
verry good,5,positivo
not free,1,negativo
goodapp,5,neutral
it ha a lot of good show and no interruption love the brightness setting,5,contento
the only app that is so problematic with the internet connection especially on tv i have fast internet connection and can stream multiple 4k video with no problem on other apps meanwhile netflix keep loading and loading and literally work only occasionally weird app,1,negativo
megan markles show is a disgrace she think that her meal are unique she is only on tv because she like the sound of her own voice and she can dance around for people to see her she is ridiculous,1,negativo
horrible they removed all my fav movie wish i could give 0 star,1,positivo
gud,5,neutral
it a very nice app fast and reliable,5,positivo
the app just open to put netflix on black background and doesnt proceed not working is working odd,3,negativo
it a really good streaming app better than all the others would recommend the only problem is that sometimes it load forever when i play something and i have to log out and back in edit have not experienced this in at least a year ty,5,contento
useless there is no new movie no marvel movie totally waste of money i think netflix is outdated totally there is no interesting content,2,enojado
good program,5,positivo
ill give you 5 star if youd animate magi remaining manga volume it a masterpiece,3,positivo
just horrible it doesnt work with my device anymore,1,insatisfecho
bad,1,insatisfecho
please add all the one piece show,5,positivo
best app for moviesnever had problem the whole family is happy,5,contento
i like this app and we can speak in difference ligua i speak portugues,2,positivo
would give zero cant download on pc for flight anymore my most used feature a i frequently fly 9 hour so useless to me,1,insatisfecho
great app,5,contento
good relaxing,5,contento
still would like to see few more movie not showing on netflix like reacher original,4,contento
disappointed why netflix is sucking at the job which they are build to do i keep getting the please try again 58 notification whenever i try to play any content i have cleared data uninstall and reinstall the application multiple time but still issue is there seriously for what i,1,negativo
love it,5,contento
excellent,4,contento
cant even travel with out this horrible app locking me out of the account i pay for absolute garbage im on my own phone and it just break,1,insatisfecho
i like it very much can watch anytime and everywhere,5,positivo
verygood,5,neutral
jo movie series chaiye hoti hai vo tho hoti hi nahi hai tumhare pas,1,neutral
very good,5,positivo
love this,5,contento
grandkids love this app,5,contento
ive been a customer for so many year i lost count well over 10 yr ive never experienced any kind of problem thanks netflix,5,negativo
needing to request a code to my email when im watching netflix at home im the owner of the subscription is just a great example showing what a bad company this ha become,1,positivo
no free version,4,negativo
too much spyware slow and buggy,1,neutral
i love this app very much,5,contento
my app doesnt work kindly guide me on that,1,negativo
all the sudden the app is stuck in portrait mode it will not swi5ch to landscape regardless of how the setting show very frustrating to not be able to watch show in landscape mode on a tablet or phone,2,insatisfecho
netflix is not working here,1,neutral
how to sing in,5,neutral
worst plan everloging in to tv is impossible sometimes and the autopay sucksno yearly plan like prime,1,negativo
please try to no paid this app please,3,positivo
uso desde 2013 e nunca tive esse problema ma agora tenho meu perfil no aparece mais personalizado no aplicativo no aparecem mais meus assistidos nem meu algoritmo personalizado nem minha lista apenas uma coleo genrica de sries mainstream que no so nada que eu gostaria realmente de ver,2,insatisfecho
free subscription please,5,contento
