processed_text,score,sentiment
best relax game ever,5,contento
ga bisa beli sesuatu menggunakan balok emas edit ga bisa beli sesuatu padahal punya balok emas,2,neutral
awesome game also highly recommend game friend family well totally awesome,5,contento
sometimes toughness impossibilities created,3,positivo
fun first spent money changed every 810 levels get stuck finish guess spending money fish improvements joke go unnecessary areas board dont help game motto swipe stress away anymore dont mind spending money welldesigned game dont like continue playing,2,negativo
amazing though theres difficult levels helps boost brain hard levels,4,contento
love game alot would love better rewards,5,contento
worst game purchased gold bars showing connection errors amount deducted cheap app fraud app,1,enojado
made game worsen recent update especially fish part got worst hard get gold bars along booster game getting worse update,1,enojado
believe game could better wasnt money hungry thats games days unfortunately,5,positivo
fun nobodygetshurt fun simple bugs biggiestill relaxing fun yearsstill,5,contento
great game im really fun,5,contento
suka error tailah padahal udah menang eh error jd keluar apl nyawa ilang sialan,2,insatisfecho
love challenge different ways playing levels,5,contento
many mix candys good candys,5,positivo
honestly game unique technical,5,positivo
nice game played ever,5,contento
excellent game sometimes hard,5,contento
sometimes rewards get dont show,4,positivo
fun game relaxing chilling,5,contento
excellent game excitingfull sugar,5,contento
great get option choosing old classic song plus old classic sound,5,contento
best game ever theres payment players,4,contento
havent years started back recently big changes alot mor fun challenging pretty good far,4,contento
love game hate cant use play points game,4,negativo
twice gotten 60 winning streaks game locks reboots loose progress purchase coins win current game reboots wasted money recommend game bugs fixed,1,contento
best proper enjoying game get satisfied,3,contento
cool like fun continue play doesnt get old,4,contento
something weirdmy friends namesetc blacked outalso bubble says many sugar stars blocks upper left sideso cant see everything cleare really nice gave free hour play june9 lives coming thru dont like new rule accept certain amount lives per dayplease go back thanks 4 hours free play reay like gummy dragons,4,contento
good fun semi addictive game,5,contento
always gets stuck levels pushes buy something way continue pass levels disgusting,1,insatisfecho
love game interesting challenging times,5,contento
great game play rainy day,5,contento
best relax swipe pis mind,4,contento
enjoyable game cliches lot almost finished hard level didnt want take gold continue lost rewards able finish level cool guys,3,contento
good relaxing ads till,5,contento
playing since 2013 love game loads fun give helpful prizes well,5,contento
long ads disturbing irritating hatest ads ever,1,insatisfecho
love change gives recommend candy crush lot,5,contento
give one rating due updation game stuck one level unable complete ad extra powerscoin moves difficult wait week also issue occur uninstall tiz game family members phone phone also,1,insatisfecho
intresting game time wasted type im enjoying much,5,positivo
game jammed telling update new version game jammed telling update new version,1,neutral
well frustrating game reach certain level less moves relax mind good bye frustrating levels poorly designed changes,1,positivo
super fun great music graphics,5,contento
good game time pass,5,positivo
game froze lost 10 gold bars restart game already lost 10 gold bars didnt get response please return 20 gold bars fix issue,5,insatisfecho
good time pass game,5,positivo
candy crush saga india new,5,negativo
best puzzle mobile game ive ever played,5,contento
lots bugs nowadays ads dont load frustrating game thats supposed stress reliever,2,positivo
game ultimat awesome gaming,5,contento
fav time pass gane,5,positivo
addictive good fun really relaxing,5,contento
enjoying like anything superb,5,contento
really really really really really love game,5,contento
dont like new update leave app middle game try access even seconds restarts making lose progress youd made certain level dont know issue device overall love game,3,contento
love adventures try one never go wrong,2,contento
good game love game,5,contento
still best game ever,5,contento
u like level 13,1,positivo
nice entertaining game idk say bad,5,positivo
worst customer service ever stole gold bars switched phones apparently way get human address sends automated message automated message attempt whatsoever help resolve problem guess big dont give damn customers tried several months reach human enjoyed game refuse play wont fix restore stole would give zero stars could point,1,positivo
im much super relaxing game love candy match together super chill game 1010 highly recommend game give try well comment hope guys read comment,5,contento
new update good reduced power jelly fish jelly fish return 3 times mix power one,3,positivo
please make less mb phone getting hang 84 mb,1,positivo
new update good old game play nice fish krack 3 box,3,contento
great game please away stupid candy royal waste time im sure come far better idea peace,5,contento
sometime rigged sometime overall still fun,4,positivo
used love app nowadays dont get option watch ads get extra moves complete level always use gold bars,2,contento
assist update installing request fix,5,neutral
addition game waste time lost money please dont install,1,negativo
best mind refreshing game ever,4,contento
fun ive playing game long time great action move move,4,contento
loving well executed idea,5,contento
amazing game day day new mission come really love game mind relaxing game love much game,5,contento
nice love tha game,5,contento
good time pass game,5,positivo
nice nice support australia,5,contento
due game wasting time,3,negativo
candy crushits game helps mentally improves iqits challenging,5,contento
purposly breaking ad right earn help im dissapointed,1,positivo
cool game really love,5,contento
everyone else id never spend money since crashes wipes power ball good way pass time waiting lives games dont issues always saves place picks right even close app,1,positivo
immediately make move suggestion annoying,3,negativo
please cheak error game restart game many time,1,negativo
super game please new update free gift please,3,contento
well initial stages scam unearths later intentional bugs dont allow use boosters forcing every stage make purchase scam initially addicted addicted made pay every stage uninstalling lost nearly 700rs,1,enojado
unpleasant gotten better since last played,4,positivo
game keeps going back home screen totally messes level start level,3,neutral
playing game 7 years want give king crazy idea turn game social media waiting answers,4,negativo
game also sooo good,5,positivo
really upgraded since last played 2015 bring back nostalgia,5,positivo
pretty fun blasts satisfying,4,contento
repeatedly one possible move make almost always top opposite need makes practically impossible complete sheer luck arrives mention numerous interruptions reshuffling one possible move youre moving fruit game tells,1,positivo
one best swiping game ever play,5,contento
bad aspect constantly wants spend money various upgrades,5,insatisfecho
love playing game relaxing,5,contento
good time pass game,5,positivo
good time pass game,4,positivo
phenomenonal great stress reliever thanks,5,contento
relaxing fun okalways fun sweetgr8candycrrrushh hiding placemy time outgr8 playing game play reached 2040 last game got bored starting starting againover yup rolllets go againoff goda reach 2000 oops blew hate feels like game getting hi jacked,4,contento
cant use bars get powers live cant buy showing saying use bars debug asap planning game decades,2,neutral
love game addictive play everyday,5,contento
excellent intelligence maker game numbers get advertisment others dont get advertising partiality even brother also plays level 45 get advertisements level 198 dont get advertisment,5,contento
super game stress releaf,5,positivo
im level 5538 candy crush going give gift,5,positivo
great game kill time,5,negativo
addictive love game every time pass level freezes close go back,5,contento
sooooo fun play youre bored satisfying,5,contento
good way kill time needed,5,negativo
enough levels mobile im 624 pc phone 620 dont want play level like month youve put 2 updates since still new levels edit took break came back happy say plenty levels,5,contento
fun challenging short ads power ups,5,contento
big stress relief great rewards,5,contento
dont botheri used play years ago 3 years gave pay money pass levels using cheats nothing changed decided give another goand impossible pass higher levels without helpso unless get freebies pay buy help pass levelssuch shame company become greedy,1,insatisfecho
level 300 upward hard pass makes bit boring,1,negativo
good gamei feel relieved playing candy crush,5,contento
lot fan also relieved stress,5,positivo
fantastic nice stess reliever,5,contento
didnt think id like much addictive,5,negativo
fun clear ur head,5,contento
downgrading game people added pig game muslim pig haram us uninstalling game,1,neutral
love game im completely addicted,5,contento
game helped bored anymore free time play candy crush fun,5,contento
good hard game life good,5,contento
best game tha world,5,contento
developers made artificial intelligence fish use use take objects path longer effort hoping end spending money game finish round deleting game cant stand cheaters king king cheaters,1,contento
best game far love rewards level difficulties,4,contento
tired pinterest ads blowing whole game,3,negativo
wanted adsi would watch tv last straw watch one move forward,1,neutral
lovely game helps relax stressed,5,contento
really annoyed paid gold bars continue level crashed loosi g gold bars paid developers way making money,2,negativo
like game takes stress,5,negativo
love bring back energy help us 2o business,5,contento
bhau ati chan dista hoo perfecttt apratim fantastic abhinandan jayyyy h,5,contento
facing problem playing game since last 2 days neither color bomb working advertisement coming pass level please look problem,1,positivo
game fun really liked,4,contento
ive stuck 1 level 2 days fun game certain difficult levels require purchase bars advance however could spend gold bars still advance spent 20 gold bars already enough adults pay attention game hours day watching ads would spend money im leaving game,2,positivo
batulas wonder ball terrible cant get boosters help win games think time put game sleep,1,negativo
candy beautiful game way manipulates watching endless ad quite boring,3,positivo
great game much fun please reduce time takes receive life 30 minutes much,4,contento
giving 1 star recent change fish works,1,positivo
excellent game like lot,5,contento
16 years since started playing game achieved nothing weakness eyes wasting time personal opinion would fun could earn money playing game,5,contento
nice time pass game,5,positivo
wow become tiresome repetitive levels almost pointless levels difficulty call parade levels silly adjustments special pieces im sure spent loads money coins id get 5360 levels im starting sort,2,contento
bahut hi ghatiya app hai bhai,1,neutral
really love play game,5,contento
playing years different emails n different phones love game fr tho love,5,contento
game literally fire best game ever played,5,contento
love playing game new update really didnt like overview look also interface good phone got hang many time loose game play even dont give negative ratings please make like im playing game since last 4 years thanks candy crush team,5,contento
process update ridiculous mean many times sign guess smart brainiacs thoight making less interesting play time takes update break,1,contento
levels almost impossible win without power ups,1,contento
love candy crush saga,5,contento
like gamesuch beautiful gamei love game,5,contento
game funny candy entertainment,3,contento
awesome wan give slap creates game,4,contento
im comfortable play games extreme exited mostly legendary level love game candy crash,5,contento
game become boring nauseating instead source comfort tranquility meaning many boring screens pop moving one level another cannot useless statistics left designated place want refer misery boredom hateful view game also boring events consume lot time candy royale feed troll stupidity boring game,1,enojado
makes time pass quick,5,neutral
awsome game leave game middle creates hunger cross many levels suggest everone play play play,5,contento
always great get crush fun times,5,contento
fun game love mom used play game,5,contento
happy candy crush saga best,5,contento
cannot play 13 days dont know flaw game suspect,1,insatisfecho
like game need improvement,3,contento
many ads get boosters eeach ad continuously 30sec5sec 3sectotal 38 seconds hate watch ads team decrease ads 30sec 5 seconds thinking find alternate game play,2,negativo
amount debited gold given like,1,positivo
play kids young people im rate 5,5,positivo
using free time best game,5,contento
super cool game great idea,5,contento
bahut bura games h,5,neutral
great game gets thinking,5,contento
killing time waste money time data,1,enojado
first time playing game like great rewards good choice theme maps,5,contento
die competion nrs go upstand still 136is play many levels stay samepoor,2,negativo
stop greedy lvl 5626 17 moves clear 146 tiles boosters gold really show done make extremely difficult pass lvls nowadays intentionally force ppl buying boosters shame fun relaxation playing game mention gold everything damn expensive purchase replenish lives used 25 minutes 30 extra moves help please dont waste time installing,1,contento
game really relaxing helps calm nerves,5,contento
wonderful game helps stay away listening sermons,5,contento
best game play spare time,5,contento
nothing beat game 20s,5,neutral
love game bored trying figure life,5,positivo
guys keep cheating players leveling even finished level im really disappointed,1,insatisfecho
stuck level 18560 update yet new update available,5,negativo
engaging game plenty excitement match 3 style game graphics unique well,5,contento
good good good good bestbest,5,contento
new level candy crush li ilu,5,contento
fun pass time game waiting lobbies bored,5,positivo
nice game favourite wonder full,5,positivo
lots fun yes stay hours world things carm game im glad helps stop depressedyes good times good backim roll,5,contento
one best game mind relaxation,5,contento
good game really like,5,contento
good game relax times lets go master gamev,5,contento
constantly crashing since last update,1,neutral
zero skill needed brain dead game win algorithm says win based play choices make pmost programmers better better,1,contento
great game graphics much improved relaxing update made level 845 get new phone sadly think lost old game tips retrieve old level,5,contento
brill time playing game absolutely exciting,5,contento
love playing game 333,5,contento
really fun interesting game become frustrating youre stuck particular level,4,positivo
started playing grandma last said level 3012 asked knew started playing,5,positivo
candy crush automatically forcing someone loose stage game minimized loose life get kicked candy royal continuous contests picking call reply text message cool,1,negativo
really relaxing kinda boring still good app,4,contento
fun cant help wonder play adds clearly scam guess really dont care patrons,2,insatisfecho
good game takes 10 gold bars 5 moves gives 25 35 moves 10 gold bars none left plus dont enough ways earn gold bars play,1,contento
made app purchases previously making numerous purchases 2 purchases never showed contacted support kep getting run around total 2 purchases 1495 im unwilling make purchases fear receiving paid hard trust app also contacted google return giving anyone king getting back w google said couldbe 4hours days receive refund assuming one approved,1,positivo
cant use reward points buy coupon play candy crush used able able long time company making killing game would hurt throw us loyal fans bone awhile also fish one activated used three,3,insatisfecho
like game long time im fun,5,contento
like play game right,5,contento
starting losing progress really bites,2,positivo
great game pass time,5,contento
fish update bad ovle soon,1,insatisfecho
nice candy crush pioneer,5,positivo
lot fun clear mind keep relaxed,5,contento
great really fun best game ever,5,contento
end candy royal please win stages lose started makes game fun fun,4,contento
really fun engages thinking faculty best move maximise points,5,contento
well fact cut freebies ads buy anything annoying change probably wont play ads back,1,negativo
great game play relaxing,5,contento
game potential great amount popups loading game absolutely insane im sitting 24 minutes hitting constant close buttons buy want play game load considering kids mostly play game predatory,2,contento
candy crush mediocre match three game incredibly aggressive monetization techniques like match three games lots much better free single time purchase options,2,contento
fun pass time game,5,contento
awesome game stressless game,5,contento
good soim looking forward lots n lots funplease keep updating players greater experience thank,5,contento
timing compulsory updates bad make update force run tokens cross difficult levels,1,insatisfecho
havent played candy crush years curious never hear anyone talk anymore downloaded started playing quickly remembered stopped playing really feel sorry anyone doesnt understand business model trying get people addicted game start making pay play scumbag way make money,1,negativo
ads worst advertisement avoid sexual sensitive ads well long ads game ads longer 30 second kindly fixed 10 second ads thank,1,positivo
great game helped boredom virus lockdown ive reached level 1442 without purchase still playing even 9125 still playing 22125 still playing 5225 still playing 3325 still playing,5,contento
candy crush never disappointed,5,positivo
ive played years levels get better absolutely amazing higher u go im love,5,contento
player beware algorithm set ensure wont wim without spending money soon game hooked algorithm keeps winning forcing spend money order advance nect level straight casino game shady algorithm setup ensure dont advance obtain bonus streaks without spend money players beware,1,contento
best luck winner sport kro guys enjoy game,5,contento
amazing time killer super enjoyable game,5,contento
certen kevel specially 7500 level shwos real face undesirable totally blame game real guys di installit takes valuabke time mkney,1,insatisfecho
bdhiya game h bhyya mri mammy khel khel kr pgll ho chuki hh unhe kch dikhta hi nhiii hh islike alwa mst gme h broooo,3,neutral
time pass aacha hota hai aur relax bhi hota hai,5,positivo
really takes away stress busy day,5,negativo
ehhh 5 stars reasonable lol,5,positivo
playing since 2011 addict candy crush,5,positivo
ive played fun games dont like suggestions makes making moves,3,contento
brilliant app great play,5,contento
verry good aps th good woark,5,contento
enjoy playing game love,5,contento
good game spending time,5,positivo
experience game great whe4n fail level 2 3 times takes 30 minutes time time game take giving 4 stars mind blowing,5,positivo
anyone else noticed game fails produce combo candies match right pieces make ensures lose level make payments buy extras win level damn game cheats dont know much longer ill bother playing ive never seen game started making app purchases trying force make purchases,1,enojado
absolutely love extra boosters win purchase satisfying finish level addicting,5,contento
enjoy playing game lot,4,contento
game good luv wow,5,contento
relaxing game calms takes away stress,5,positivo
makes 1s brain work,5,neutral
nice game nmn po sya sad kasi magamit ang gold bar kahit data connection sayang,4,insatisfecho
really like game alot fun,5,contento
nice game entertaining game,5,contento
z graynk graymy wiernie 10 lat zanim wogole matka wysraa wy miecie zmieniacie ca gre dajecie wkurzajce animacje tak czas leci rybki inne pomoce uciekaj ico wy macie zamiar zrobi w ramach rekompenstaty emocjonalnej moja renta jest za maa eby paci za ulepszenia nie wiadomo ile,1,neutral
good issue update lots friend candy crush saga cant message add chat box friend make hello hi together please add chat box candy crush saga,1,contento
love playing game keeps mind ease,5,contento
theres reason still best way kill bit time addictive puzzling fun,5,positivo
best game ever world love much best,5,contento
ads ane band hogye h mere app maibina adds ke kaise level complete hongi u mad,1,negativo
pretty good far new phone starting beginning old phone cleared level could tap screen dont wait go new level,3,contento
supper game like game,5,positivo
daily treat machine disappeared,1,positivo
best game really love play candy crush secret successfully passing time long lectures without feeling sleepy love game,5,contento
super enjoy play game,5,contento
better even better classic classical great better excellent getting tan better fantastic greatbrill great great fantastic excellent game abetterawesome new graphicsawesome better even better ever great game better,5,contento
great playing apps ever,5,contento
much velger nudy video ads long ads upto minute,1,neutral
recent updates jellyfish rendered less effective tap goes wrong direction need clear anything happens move right place one clears one jelly,4,positivo
fun challenge continuous playing,4,contento
dont play game youll get stress game,1,insatisfecho
nice time pass game,5,positivo
fun fun fun fun,5,contento
enjoying purchases game u hard level u must buy something app finish level u didnt purchases u stuck level day week love spending money bro love game u didnt money better playing game,1,contento
superb gane pkay lots fun anf logical thinking,5,contento
fun help using mind,5,contento
great time game blast much fun best game much fun play every day,5,contento
excellent game easy play,5,contento
love game fun helps brain,5,contento
love game probably best idea since sliced bread yeah still fun would fun add new graphics hows candy crush go create personalized avatars hmm time upgradei wish create game one could play another mean one takes move till board clear u think king,5,contento
super excited candy crush saga game,5,contento
minus 2 stars cuz im lowkey addicted idk else say,3,negativo
apologize saying game far costly actually friggin black hole sucks every penny pockets every directly deposited dime bank account,1,negativo
good game best ever,5,contento
still agreat game great time,5,contento
classic good game easy fun,5,contento
enjoy relieving stress playing,5,contento
love pass time game,5,contento
worst game ever always give rubish suggestions,1,insatisfecho
casual fun colors game play,5,contento
intresting game mind testing game,1,neutral
time pass game internet,4,neutral
best experience mindfulness reduce stress,5,positivo
love engaging hard stop playing,5,contento
saddest saturated boring creation exist nothing spam endless advertisements begs money every level load screen every chance get repeat everything go thank atlas earth forcing try review game everyone know despises since first came continually hated every time try continue every time see another losy advertisement,1,insatisfecho
love game best game forvampires,5,contento
problem game using app 2 years currently phone everytime want use something showing connection problem hope fix possible,3,negativo
nerf fish fish used awesome useless actually make things worse plus previously youd get like 3 stripe fish 3 bomb fish get one goes already stripped candy waste fish stripe,3,insatisfecho
plz fix jumping dwn game pieces trying help moves get happens 1st lvls im lvl 35 annoying,3,positivo
fun without much brain power challenges bit annoying bubble gum challenge waste time,4,negativo
tha ads extra moves,1,neutral
game hard level im uninstall game,1,negativo
enjoy playing game time least 20 times day,5,contento
great fun good graphics,5,contento
interesting full fun game,5,contento
great game exhilarating experience well rounded gameplay inspiring helpful,5,contento
made fishes dumber instead helping clear objective goes completely random candy especially combined stripe wrapper candy 1 fish instead 3 useless popups progress wasting time youd spend money,1,negativo
app amezing something feel like happy,5,contento
hate ask rate game im trying play,2,negativo
best option puzzle game,5,contento
getting ready uninstall seems boot everytime use gold bars advance,1,positivo
win race game diont give 30 points,3,contento
love game best game worldlove game keep mind rightlove love livelove play game every daylove love love game love game reached level 4000 started,5,contento
best game everso lovely interesting,5,contento
superb gaming ex perience,5,contento
far many pop ups option click every time go app mildly diverting far annoying every time go even anything wanted,1,negativo
nice app fun relaxation,3,contento
exciting interesting game ever played 78 years old ten years later still hooked still lower levels still entertained found candy cane solitaire throughly enjoying well,5,contento
waste worst 224 moving waste,1,enojado
great much fun fun fun ok fun fun love much fun fun happy times happy best ever fun injoyab happy glad playing againfun h ppy happy fun happy fun fun great fun happy easy play fu n joy joy funny joy fun happy,5,contento
nice love candy crush,5,contento
fun good time waster issue feels like levels made make buy things,4,contento
lost levels even though saved lost everythingeven interest game,1,positivo
superb game time passing,3,contento
bahut badhiya hai isliye,5,neutral
playing level finished level whole app locked dont know clear,1,negativo
fascinating game since 2010 still love,5,contento
nowadays worst experience ad extra moves extra gold stuck particular level hard clear level without extra moves think uninstall games worth play cant provide extra moves ad disappeared game take much time reach next level almost 2 3 days single level cant progressed,1,negativo
game really nice playing iq levels also grow like game game offline,5,contento
perfect way away timecertainly addictive,5,contento
fun cant stop playing,5,contento
playing game sense 2015,5,positivo
whatever ppl playing us like play game sorry say helped build empire sadday,2,contento
level 17779 tough level,1,negativo
great game fun play,5,contento
amazing different level comes one one,5,contento
whole game really addictive,5,neutral
nice quiet great nice nice circle,5,contento
suffers problem candy crush games many pop ups id like launch game start playing close many pop ups game ok aware slog dont pay win levels usually buying pop ups youll suddenly win level youre stuck dont think theres much skill involved predetermined stated like candy crush games,3,neutral
game stress reliever keeps far lot bad things,5,insatisfecho
candy crush saga mobile legends bang bang,5,negativo
nice game unlimited levels,5,positivo
fun hell must download,4,negativo
best game ever worth,5,contento
third class game hope less,1,positivo
enjoyable enough little game levels impossible complete without paying cash extra lives put right thats gentlemanly behaviour im,1,positivo
love game competitive fun would definitely recommend,4,contento
good game adults children make brain develop active properly yes indeed,5,contento
best time pass game,5,contento
nice game old game childhood,5,positivo
keep calm relax mind,5,contento
good mobil much hang game,5,positivo
interesting good game lovely ok,5,contento
really nice game play free,5,contento
good game keeps shutting kills streak,3,negativo
thanks every emotional music,5,contento
give 4 5 reworked whole game progress gone,4,positivo
nice game relaxing frustrating lives,5,positivo
lovely game hard levels,5,contento
love playingcandy crush saga never stop,5,contento
game addictive like game,4,positivo
like really love friends play well done,5,contento
beautiful game play fun,5,contento
like play nice game,4,contento
wow seriously love name candy crush mind blowing,5,contento
nice game play family,5,contento
best game enjoying game level 10770,5,contento
hate upgrade jellyfish dont work used everything ruined please return way always pleaseeeeeee,1,insatisfecho
game nice hard game minded game,1,positivo
app terrible unable purchase moves app fails connect store first time encountered problem invested considerable amount gold bars progress race yet unable make crucial move final level,1,insatisfecho
hi lat 12 13 years playing game unable purchase coins game game slow,3,positivo
love playing game actually game play became frustrating im level 14 815 seems destined advance beyond level game shut im win level happened umpteenth time please fix use vivo v30,3,contento
good game endless game,5,positivo
excellent timepass fun game,5,contento
superb experience playing game,5,contento
game fun also increases ability think order win,5,contento
good sometimes levels need use extra moves overall good,3,contento
level 12000 ive decided leave game alone reasons due changes game little fishes game used multiples helping click one moving around longer go need stack cake challenge many popups barely enough time complete first challenge order get pinata exploding piece want spend lot im done,1,positivo
spermint snow man hate urging avoid levels like game awsome alien levels tidy,4,insatisfecho
nice funny enjoyably playing,5,contento
keeps making lose winning streaks telling connecting store run moves last time 42nd win row previous im pretty sure streak 87,1,contento
winning prize 1st place switch second,1,contento
miss points set every game see well players,5,positivo
great way pass time,5,contento
take away timed boosts run lives cheap move purchases already overpriced,1,positivo
match 3 game fun power ups cute aesthetic,5,contento
fun game good time killer,5,positivo
love tweaks yall done thanks,5,contento
favorite game ever love,5,contento
awesome great time filler,5,contento
server bad even though internet working im able watch ads level failure able buy moves gold even sufficient gold account,1,insatisfecho
im high af game great,5,contento
lot fake ads dont get reward even watching please control,1,insatisfecho
second time week finish episode graphic 30 gold pops gold isnt applied ridiculous,1,positivo
best game ever good cant stop playing,5,contento
word tjis game people game,5,neutral
im never going play game,1,negativo
brilliant fantasy sweet adventure,5,contento
amazing superb mind relax,5,contento
nakakatulong sa aking isipat kahabagan health,5,neutral
play many commercials hulu,1,positivo
good timewaster tired match 3 games,4,neutral
level 686 glitches said possible switches level failed given chance try lost win streak challenge 19th level 21 missed least 60 gold bars invested probably hundred get dumb know didnt get back either rigged poorly built,1,insatisfecho
amazing super good game,5,contento
suddenly inventory reduced zero frustrating,3,negativo
enjoyable first gets point becomes impractical play without spending money,4,contento
like game passes time away bit challenging,5,positivo
game really mind blowing,5,neutral
good game pass time,5,positivo
good way waste time bored,1,negativo
fun beginning game progresses almost impossible continue without paying,5,contento
love new updates changes sounds music really nice soft less aggressive loud opinion,5,contento
love playing game helps mental health issues fin play children family,5,contento
pretty good dont always get win,4,positivo
fun game addicting nice game play fun nice relaxing game fun playing game candy crush saga nice game,5,contento
ive lost several times whole screen plays games glitches ive reinstalled 2x hoping would better experience ill try 1 time reinstall game glitches dont improve uninstalling good time,2,negativo
totally enjoyable totally love,5,contento
cute lovey game love wow amazing super vvvvvvvvvv nice,5,contento
interesting gamei like muchour mind gets fresh playing gameyou must try make mood happy,5,contento
great long trips recommended,5,contento
paid 2 times getting gold bars even money deducted gpaybut didnt got gold bars received money yet account p,1,neutral
jis hisab hard level dete ho us hisab moves bhi diya karo yr ye kabhi levels jayenge hi nhi 15 moves 500 moves ka task dete ho hai yr,1,negativo
fun fun fun love game challenging give help condtant boosters play adds relaxing winning game time,5,contento
love play every day,5,contento
goodit keeps toesso addictive,5,neutral
love game l relax,5,contento
still many pop ups let play game click 20 things main map area idgaf candy troll let play darn game,1,contento
change review offensive saying game silly wikkle popups poopie wanted play wikkle game peace instead close 760 pop ups asking buy sowwi find review poopie hope dont offend poop poop poop,2,contento
happy play game geme good fun play game,4,contento
problemerror level 8329 final key doesnt come complete level even 10 moves remaining,1,neutral
worst game ever played play mobile games leisure period one map takes 40 try still cant complete dont provide point buy booster complete map totally boring,1,negativo
frustrating times keeps entertained still hooked game fun game awesome totally addicting fun game adding review say glitch paying season pass getting super frustrating ugh wish would away troll,3,contento
falth game total stucked,1,neutral
loved fav game play,5,contento
good game mind fresh,5,contento
good offline game iam past 2 years played well great job owners company,5,contento
nice game full time pass mind blowing,5,positivo
